DonorID,FirstName,LastName,Email,City,State,ZipCode,LastDonationDate,TotalGifts,TotalAmountDonated,EventParticipation,EngagementScore,Phone,Recency,DonorScore
D01150,Brian,Schaefer,ashley77@padilla.biz,Port Joseph,PA,80700,2022-04-19,29,22641.44,1,52,(460) 664-9323 x7558,1277,0.9234203462120624
D02166,Paige,Harris,jake58@chapman.com,South Robertside,WI,72378,2022-07-12,26,24526.12,1,75,(888) 507-3257 x9162,1193,0.9081128803975486
D04769,Angela,Sanchez,natalie04@yahoo.com,North Matthewchester,FL,23159,2022-09-18,28,23739.45,1,78,(324) 125-4960,1125,0.9009643765762029
D04988,Jessica,Johnson,jeffrey30@evans.com,Jackmouth,NV,88236,2022-08-12,27,20482.73,1,100,(796) 756-6376,1162,0.8999999925234732
D03881,Jeffrey,Grant,donna42@carlson.com,Markton,VT,27007,2022-06-25,27,23925.65,1,48,(814) 302-3459 x992,1210,0.8903930832263636
D01504,Cathy,Mora,william47@gmail.com,Sandersside,WV,10269,2022-04-20,19,24755.76,1,89,(434) 220-8241,1276,0.8881232637937179
D03824,Andrea,Moreno,jonathanrobinson@hotmail.com,Ramirezland,WA,81652,2022-08-26,24,23462.94,1,86,(175) 963-1364 x39621,1148,0.8784678055519485
D03980,Hunter,Tyler,lisa16@anderson-smith.com,North Kayla,NY,68693,2022-04-06,27,20188.13,1,38,,1290,0.8759273894867539
D02759,Jessica,Rogers,olsenlinda@martinez.org,Riveraville,WA,14198,2022-05-08,29,23004.44,1,3,(756) 297-8823 x5531,1258,0.8707597657959981
D01306,Alicia,Warner,shannonhammond@bauer.com,Lopezport,MN,80293,2022-07-08,22,22377.95,1,88,(805) 143-8827 x3749,1197,0.8696027977261771
D02442,Amanda,Thompson,lopezcatherine@garcia-conrad.com,Port Michael,IA,99465,2022-06-09,29,19687.97,1,38,(555) 018-7890,1226,0.8693219074595555
D03075,Amanda,Vincent,jennifer61@gutierrez.com,South Diane,NM,24287,2022-04-14,22,21351.63,1,67,(301) 132-6339,1282,0.8673393729630272
D01716,Emily,White,chambersashley@arias.biz,West Brandonmouth,TN,94311,2022-10-25,28,21367.13,1,71,(457) 081-1759,1088,0.8630662195481956
D04277,Crystal,Mueller,kdiaz@weeks-eaton.org,Matthewside,NJ,13011,2022-04-01,26,15046.68,1,72,(592) 815-1547 x3653,1295,0.8617602662733461
D02107,Elizabeth,Sanchez,riversdebra@owens-casey.com,West Joshua,MN,34464,2022-05-11,25,14438.45,1,96,(392) 148-1964 x2404,1255,0.859417146386817
D01396,Ana,Coleman,craigmiles@hotmail.com,West Jasonberg,NE,44991,2022-04-05,25,24036.21,1,7,(313) 978-3747 x66937,1291,0.8578977341241321
D04010,Mitchell,Aguirre,brooke67@lopez.com,Shortberg,NY,,2022-07-27,26,15446.58,1,95,(474) 622-6964 x0763,1178,0.8507983061821166
D04156,Christopher,Doyle,shawnharris@yahoo.com,West Susanton,AK,21820,2022-05-07,22,19687.4,1,67,(872) 569-3746 x863,1259,0.8466582165744639
